year,firstname,sex
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,M
2011,ALEXIS,M
2011,ALEXIS,M
2011,ALEXIS,M
2011,ALEXIS,M
2011,ALEXIS,M
2011,ALEXIS,M
2011,ALEXIS,M
2011,ALEXIS,M
2011,ALEXIS,M
2011,ALEXIS,M
2011,ALEXIS,M
2011,ALEXIS,M
2011,ALEXIS,M
2011,ALEXIS,M
2011,ALEXIS,M
2011,ALEXIS,M
2011,ALEXIS,M
2011,ALEXIS,M
2011,ALEXIS,M
2011,ALEXIS,M
2011,ALEXIS,M
2011,ALEXIS,M
2011,ALEXIS,M
2011,ALEXIS,M
2011,ALEXIS,M
2011,ALEXIS,M
2011,ALEXIS,M
2011,ALEXIS,M
2011,ALEXIS,M
2011,ALEXIS,M
2011,ALEXIS,M
2011,ALEXIS,M
2011,ALEXIS,M
2011,ALEXIS,M
2011,ALEXIS,M
2011,ALEXIS,M
2011,ALEXIS,M
2011,ALEXIS,M
2011,ALEXIS,M
2011,ALEXIS,M
2011,ALEXIS,M
2011,ALEXIS,M
2011,ALEXIS,M
2011,ALEXIS,M
2011,ALEXIS,M
2011,ALEXIS,M
2011,ALEXIS,M
2011,ALEXIS,M
2011,ALEXIS,M
2011,ALEXIS,M
2011,ALEXIS,M
2011,ALEXIS,M
2011,ALEXIS,M
2011,ALEXIS,M
2011,ALEXIS,M
2011,ALEXIS,M
2011,ALEXIS,M
2011,ALEXIS,M
2011,ALEXIS,M
2011,ALEXIS,M
2012,ALEXIS,M
2012,ALEXIS,M
2012,ALEXIS,M
2012,ALEXIS,M
2012,ALEXIS,M
2012,ALEXIS,M
2012,ALEXIS,M
2012,ALEXIS,M
2012,ALEXIS,M
2012,ALEXIS,M
2012,ALEXIS,M
2012,ALEXIS,M
2012,ALEXIS,M
2012,ALEXIS,M
2012,ALEXIS,M
2012,ALEXIS,M
2012,ALEXIS,M
2012,ALEXIS,M
2012,ALEXIS,M
2012,ALEXIS,M
2012,ALEXIS,M
2012,ALEXIS,M
2012,ALEXIS,M
2012,ALEXIS,M
2012,ALEXIS,M
2012,ALEXIS,M
2012,ALEXIS,M
2012,ALEXIS,M
2012,ALEXIS,M
2012,ALEXIS,M
2012,ALEXIS,M
2012,ALEXIS,M
2012,ALEXIS,M
2012,ALEXIS,M
2012,ALEXIS,M
2012,ALEXIS,M
2012,ALEXIS,M
2012,ALEXIS,M
2012,ALEXIS,M
2012,ALEXIS,M
2012,ALEXIS,M
2012,ALEXIS,M
2012,ALEXIS,M
2012,ALEXIS,M
2012,ALEXIS,M
2012,ALEXIS,M
2012,ALEXIS,M
2012,ALEXIS,M
2012,ALEXIS,M
2012,ALEXIS,M
2012,ALEXIS,M
2012,ALEXIS,M
2012,ALEXIS,M
2012,ALEXIS,M
2012,ALEXIS,M
