year,firstname,sex
2008,ALEXIS,F
2008,ALEXIS,F
2008,ALEXIS,F
2008,ALEXIS,F
2008,ALEXIS,F
2008,ALEXIS,F
2008,ALEXIS,F
2008,ALEXIS,F
2008,ALEXIS,F
2008,ALEXIS,F
2008,ALEXIS,F
2008,ALEXIS,F
2008,ALEXIS,F
2008,ALEXIS,F
2008,ALEXIS,F
2008,ALEXIS,F
2008,ALEXIS,F
2008,ALEXIS,F
2008,ALEXIS,F
2008,ALEXIS,F
2008,ALEXIS,F
2008,ALEXIS,F
2008,ALEXIS,F
2008,ALEXIS,F
2008,ALEXIS,F
2008,ALEXIS,F
2008,ALEXIS,F
2008,ALEXIS,F
2008,ALEXIS,F
2008,ALEXIS,F
2008,ALEXIS,F
2008,ALEXIS,F
2008,ALEXIS,F
2008,ALEXIS,F
2008,ALEXIS,F
2008,ALEXIS,F
2008,ALEXIS,F
2008,ALEXIS,F
2008,ALEXIS,F
2008,ALEXIS,F
2008,ALEXIS,F
2008,ALEXIS,F
2008,ALEXIS,F
2008,ALEXIS,F
2008,ALEXIS,F
2008,ALEXIS,F
2008,ALEXIS,F
2008,ALEXIS,F
2008,ALEXIS,F
2008,ALEXIS,F
2008,ALEXIS,F
2008,ALEXIS,F
2008,ALEXIS,F
2008,ALEXIS,F
2008,ALEXIS,F
2008,ALEXIS,F
2008,ALEXIS,F
2008,ALEXIS,F
